³¯Â¥,³×ÀÌ¹ö,°ø½Ä¸ô,Áö¸¶ÄÏ,¿Á¼Ç,ÄíÆÎ,11¹ø°¡,,,,,,,,
2022-01,45757800 ,1279500 ,11656640 ,4974300 ,26847500 ,5296499 ,,,,,,,,
2022-02,67857900 ,300000 ,11682840 ,3567400 ,35465100 ,4980009 ,,,,,,,,
2022-03,86878200 ,3013100 ,4564050 ,5228660 ,63920200 ,3954399 ,,,,,,,,
2022-04,65928800 ,3286800 ,10649850 ,5882400 ,48244300 ,9512264 ,,,,,,,,
2022-05,82033190 ,2530500 ,14769600 ,9412500 ,42829600 ,3893159 ,,,,,,,,
2022-06,88831400 ,1355200 ,8895690 ,10470500 ,47858500 ,1503225 ,,,,,,,,
2022-07,71653200 ,613900 ,7696950 ,4803890 ,42369100 ,4793904 ,,,,,,,,
2022-08,85825200 ,1715800 ,3852220 ,2954660 ,44650700 ,4602574 ,,,,,,,,
2022-09,81578100 ,1095800 ,8610300 ,3672000 ,32788090 ,2868033 ,,,,,,,,
2022-10,69438080 ,811300 ,4105900 ,1007520 ,34139390 ,4016088 ,,,,,,,,
2022-11,64179300 ,553200 ,5507940 ,1667920 ,42425000 ,5463138 ,,,,,,,,
2022-12,96625500 ,338000 ,8955450 ,4495600 ,40246200 ,1926550 ,,,,,,,,
2023-01,101558300 ,39000 ,4407070 ,4408850 ,27399100 ,4080280 ,,,,,,,,
2023-02,102660700 ,20000 ,3824820 ,3011710 ,34015600 ,6640600 ,,,,,,,,
2023-03,129800800 ,159500 ,3824820 ,4718280 ,31913500 ,8301800 ,,,,,,,,
2023-04,121059000 ,593800 ,5849900 ,1667000 ,35232200 ,11282900 ,,,,,,,,
2023-05,120491000 ,278100 ,7115460 ,4069820 ,22323400 ,4298300 ,,,,,,,,
2023-06,83644600 ,89000 ,3930050 ,2514550 ,27719800 ,5185700 ,,,,,,,,
2023-07,103952200 ,17700 ,5118500 ,4113250 ,26025400 ,7141700 ,,,,,,,,
2023-08,134277400 ,822200 ,2814100 ,7322850 ,30975600 ,3169500 ,,,,,,,,
2023-09,85613300 ,17000 ,4295200 ,4501300 ,25440300 ,4422200 ,,,,,,,,
2023-10,108555500 ,286000 ,3828100 ,2369550 ,25939400 ,7349800 ,,,,,,,,
2023-11,103366500 ,195000 ,8786550 ,5163750 ,26134000 ,3313200 ,,,,,,,,
2023-12,91582800 ,1801000 ,2746100 ,4401400 ,28950400 ,5589700 ,,,,,,,,
2024-01,102575300 ,0 ,7912000 ,2722300 ,27068100 ,8739200 ,,,,,,,,
2024-02,85939200 ,158000 ,2278500 ,3249500 ,24120400 ,8068500 ,,,,,,,,
2024-03,101243600 ,96000 ,5600800 ,2157300 ,25820800 ,2933500 ,,,,,,,,
2024-04,104001800 ,1020000 ,1902200 ,830500 ,23864400 ,2214000 ,,,,,,,,
2024-05,110871100 ,0 ,3946100 ,4358800 ,33185900 ,4086500 ,,,,,,,,
2024-06,105482300 ,0 ,12783000 ,3566700 ,18032800 ,1846700 ,,,,,,,,
2024-07,123209900 ,356500 ,3820000 ,2772000 ,23490700 ,2384500 ,,,,,,,,
2024-08,111130200 ,0 ,11092300 ,3485400 ,28266800 ,4715000 ,,,,,,,,
2024-09,103293000 ,0 ,4308800 ,5509300 ,27430200 ,725500 ,,,,,,,,
2024-10,81720700 ,68500 ,1451500 ,899000 ,31478000 ,1357500 ,,,,,,,,
2024-11,95818600 ,114000 ,5301500 ,304000 ,18358800 ,2042000 ,,,,,,,,
2024-12,97812020 ,80000 ,2831700 ,1094600 ,17403600 ,2444000 ,,,,,,,,
2025-01,92307300 ,239000 ,8069220 ,1275000 ,43281000 ,4192400 ,,,,,,,,
2025-02,104203500 ,321000 ,7441120 ,3756300 ,29008400 ,821400 ,,,,,,,,
2025-03,96008500 ,0 ,7515440 ,4453000 ,35252490 ,376000 ,,,,,,,,
2025-04,100775500 ,35000 ,4911140 ,5669300 ,51425290 ,108500 ,,,,,,,,
2025-05,125790500 ,309100 ,9033290 ,2211500 ,36015700 ,274100 ,,,,,,,,
2025-06,96578100 ,0 ,1578000 ,1711500 ,31208180 ,155500 ,,,,,,,,
2025-07,105001300 ,176000 ,2945500 ,3056000 ,31701700 ,423500 ,,,,,,,,
2025-08,100981940 ,40000 ,3041500 ,1256500 ,44120300 ,119000 ,,,,,,,,
2025-09,102871300 ,6500 ,5237100 ,2244900 ,47676110 ,268000 ,,,,,,,,
2025-10,93403400 ,0 ,5115000 ,3298000 ,41045900 ,486000 ,,,,,,,,
2025-11,94623600 ,0 ,4486200 ,861000 ,33847980 ,386500 ,,,,,,,,
2025-12,88731400 ,220000 ,6191900 ,800100 ,28941890 ,1946900 ,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
